Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Panel_brand,Orientation,Number_of_inverters,Inverter_brand,Inverter_size,Postcode,Install_date,Shading,Tilt
23/04/17,6.673kWh,3.617kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/04/17,7.893kWh,4.278kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/04/17,4.367kWh,2.367kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/04/17,10.515kWh,5.699kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/04/17,9.183kWh,4.977kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/04/17,8.569kWh,4.644kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
17/04/17,8.951kWh,4.851kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
16/04/17,3.724kWh,2.018kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
15/04/17,6.124kWh,3.319kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
14/04/17,5.360kWh,2.905kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
13/04/17,6.250kWh,3.388kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
12/04/17,3.051kWh,1.654kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
11/04/17,8.343kWh,4.522kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
10/04/17,6.326kWh,3.429kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
09/04/17,10.355kWh,5.612kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
08/04/17,7.386kWh,4.003kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
07/04/17,6.281kWh,3.404kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
06/04/17,4.663kWh,2.527kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
05/04/17,7.681kWh,4.163kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
04/04/17,6.140kWh,3.328kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
03/04/17,4.939kWh,2.677kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
02/04/17,9.142kWh,4.955kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
01/04/17,3.039kWh,1.647kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
31/05/17,10.059kWh,5.452kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/05/17,3.583kWh,1.942kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/05/17,10.285kWh,5.575kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
